CMN,anziani,fam,istr_sup,maschi,minori,occ,pop,stran
59011,20515,53561,14085,62204,21167,49729,127560,11428
59012,774,1647,302,2011,575,1466,4075,174
59013,474,1275,164,1478,478,1075,2996,154
59014,3410,8543,1849,9825,3135,6911,19971,805
59015,1065,2603,242,3114,979,2103,6159,434
59016,668,1676,188,1790,566,1319,3708,206
59017,2247,5429,599,7439,2635,5793,14849,1833
59018,578,1639,208,1719,475,1016,3301,280
59019,2389,5384,911,6720,2258,4891,13763,1206
59020,218,559,52,596,177,461,1167,38
59021,785,1758,257,2076,621,1514,4199,417
59022,216,488,51,568,133,424,1088,98
59023,216,471,51,531,136,392,1057,56
59024,3173,8552,1474,10264,3178,7488,19938,2828
59025,1777,4631,723,5257,1367,3375,10129,1731
59026,1116,2624,480,3361,1114,2319,6813,298
59027,1341,3890,765,5016,1928,4018,9977,543
59028,3632,9560,1432,11775,3803,8272,23576,3400
59029,1267,2977,283,3704,1236,2543,7433,514
59030,624,1555,318,1576,383,1234,3116,163
59031,502,1045,216,1380,487,1001,2851,40
59032,7877,18685,3680,22345,6491,15792,44495,4345
59033,137,421,62,404,79,232,736,96
60001,54,141,13,148,27,90,280,6
60002,315,830,96,934,272,624,1883,58
60003,4229,10521,1734,13571,4582,10385,27768,1617
60004,555,1140,231,1259,283,952,2526,124
60005,683,1688,190,2059,651,1557,4102,279
60006,3555,8417,1417,10262,3367,8022,20853,1222
60007,904,2028,428,2456,762,1782,4992,277
60008,1075,2432,481,2644,739,1938,5403,322
60009,435,961,120,1060,324,763,2222,54
60010,1486,2915,698,3377,913,2522,6898,206
60011,797,1757,420,1979,608,1474,4139,251
60012,412,1008,176,1210,359,835,2441,59
60013,145,283,29,356,88,229,692,17
60014,1426,3303,419,4182,1335,2909,8425,294
60015,435,982,213,1317,380,1053,2688,26
60016,324,740,116,792,231,561,1596,40
60017,128,227,23,254,63,115,535,49
60018,482,1063,180,1174,326,829,2383,118
60019,5882,16382,4844,17427,5498,13565,35418,2269
60020,621,1274,234,1614,488,1228,3256,87
60021,131,356,45,428,143,326,875,11
60022,672,1704,312,1852,642,1462,3841,157
60023,960,1935,286,2176,608,1601,4483,111
60024,3737,9039,1519,11060,3553,8373,22610,775
60025,1631,3584,632,4152,1244,2903,8408,530
60026,1328,3425,695,3825,1266,2838,7794,350
60027,354,836,109,884,260,616,1822,89
60028,151,400,32,465,127,320,903,30
60029,139,280,42,331,81,228,650,19
60030,295,652,154,754,237,539,1531,38
60031,689,1633,252,1816,508,1299,3649,122
60032,108,253,32,277,67,176,540,30
60033,3297,8338,1442,10112,3071,7470,20247,1302
60034,97,305,27,264,53,200,507,10
60035,1715,4655,898,4880,1395,3902,10119,825
60036,574,1356,322,1354,387,984,2757,166
60037,184,495,87,590,185,485,1246,37
60038,8041,19673,5346,21227,6553,16785,44491,3676
60039,381,833,55,994,260,690,2002,81
60040,222,566,114,573,159,455,1192,81
60041,442,1082,148,1161,378,859,2358,71
60042,305,671,102,762,204,521,1520,104
60043,2381,4692,1140,5274,1459,4094,10945,341
60044,2071,4794,790,6111,1944,4325,12228,452
60045,584,1342,175,1614,496,1204,3172,132
60046,1283,3338,438,3939,1279,2929,7975,317
60047,279,574,70,633,138,457,1265,7
60048,474,1313,182,1526,499,1193,3090,148
60049,275,609,100,728,197,538,1445,36
60050,205,508,77,536,140,396,1096,39
60051,572,1158,181,1310,375,1006,2683,39
60052,821,2817,452,3185,1236,2398,6336,347
60053,806,1966,213,2170,581,1624,4386,144
60054,393,1136,186,1170,409,869,2403,124
60055,813,1681,176,1960,518,1364,3951,84
60056,2012,4956,982,6103,1934,4773,12470,433
60057,281,466,119,526,124,387,1077,56
60058,985,1898,311,2512,802,1704,5093,285
60059,209,454,72,453,108,312,921,37
60060,1289,3083,583,3526,964,2474,7016,272
60061,69,168,18,148,29,99,308,4
60062,372,945,177,906,240,723,1886,64
60063,501,1308,265,1480,495,1121,3005,180
60064,687,1383,179,1539,405,1091,3146,126
60065,178,435,89,473,105,342,906,30
60066,273,670,73,645,178,425,1303,45
60067,325,777,162,897,279,666,1834,85
60068,1065,2424,422,2839,865,2042,5733,119
60069,261,566,92,621,156,455,1225,35
60070,372,984,158,1251,385,894,2505,153
60071,551,1305,153,1514,462,1113,2982,150
60072,120,301,48,352,81,265,711,49
60073,462,1123,114,1160,351,830,2411,313
60074,4428,10457,2601,12248,3745,9614,25133,958
60075,410,911,92,1111,346,806,2316,100
60076,815,1975,295,2314,736,1666,4678,406
60077,108,191,16,149,17,90,311,4
60078,215,603,69,667,191,445,1310,72
60079,795,1864,399,2363,806,1747,4772,236
60080,349,859,110,899,152,624,1741,96
60081,278,662,69,796,266,567,1619,79
60082,627,1188,179,1192,341,819,2454,49
60083,187,385,46,444,119,282,902,7
60084,352,729,69,702,139,431,1405,29
60085,3340,7622,1108,9795,3133,7103,19868,790
60086,174,326,66,348,101,247,743,10
60087,337,878,128,1043,332,732,2110,121
60088,259,550,97,567,170,365,1146,75
60089,408,1035,129,1281,395,927,2547,116
60090,289,716,64,817,239,574,1649,69
60091,67,159,13,149,26,87,303,10
61001,265,647,110,570,175,402,1252,31
61002,1134,3170,525,3632,1211,2496,7337,195
61003,814,1880,317,2244,729,1596,4576,284
61004,641,1883,313,2573,983,1706,5265,183
61005,7072,18689,6335,24295,9012,16606,50640,3030
61006,360,837,149,988,308,667,2021,87
61007,724,2235,443,2912,1179,1953,5958,287
61008,311,706,136,846,274,632,1754,56
61009,939,2362,469,2541,812,1750,5210,173
61010,894,2153,463,2667,852,1778,5524,180
61011,311,777,133,989,363,659,1975,67
61012,622,2183,317,2746,1019,1776,5443,556
61013,982,3614,816,4954,2216,3408,10033,289
61014,273,614,143,706,245,501,1482,68
61015,2746,6957,1752,8553,2792,6004,17657,1236
61016,711,2529,423,3497,1405,2146,7126,354
61017,1309,3027,534,3713,968,2363,7318,420
61018,2363,5353,1363,6233,1912,4280,12983,647
61019,2042,7503,1233,10497,4341,5899,21077,1327
61020,1026,3282,498,4620,1955,2681,9442,370
61021,1101,3213,726,4044,1547,2816,8317,337
61022,12293,30588,12829,34212,10963,26236,72813,3825
61023,288,661,110,709,216,544,1478,37
61024,226,438,88,517,155,324,1064,36
61025,206,577,103,681,209,448,1403,17
61026,616,1490,269,1756,504,1273,3644,84
61027,2651,10868,1242,13793,5570,7582,26737,4691
61028,579,1793,191,2341,856,1541,4818,158
61029,854,3132,537,4658,2038,2872,9310,336
61030,95,184,16,190,28,123,382,28
61031,266,527,73,574,172,380,1177,43
61032,1057,2678,528,3204,1128,2177,6766,344
61033,333,829,163,933,323,708,1998,68
61034,149,349,57,385,124,261,767,11
61035,230,580,110,624,217,470,1356,81
61036,633,1824,250,2329,748,1577,4635,292
61037,1028,3376,526,4452,1882,2560,9034,366
61038,146,248,34,265,47,149,522,6
61039,347,901,130,993,272,657,2016,54
61040,134,281,61,323,97,222,666,52
61041,626,1482,200,1637,499,1074,3316,84
61042,832,2589,328,3368,1264,2243,6785,408
61043,885,4213,643,6326,2944,3735,12589,881
61044,147,323,32,303,72,209,646,1
61045,235,559,72,504,139,321,1061,25
61046,1594,5752,1064,7590,3088,5016,15579,719
61047,1209,3797,521,4915,1868,3131,10026,247
61048,4555,13073,2398,18144,7123,11806,37221,881
61049,4496,13765,2814,18927,7356,13001,38740,1203
61050,429,948,164,1019,239,672,2032,99
61051,507,1351,162,1454,421,972,2981,80
61052,3712,12119,1844,14517,5199,8651,28915,4111
61053,1742,9094,1205,13425,6978,8072,26950,754
61054,1269,4318,854,5842,2399,3775,11875,1015
61055,436,1219,211,1477,529,1021,2949,224
61056,457,846,157,1081,266,711,2160,95
61057,1785,4281,1052,4995,1567,3521,10373,236
61058,775,1953,332,2169,730,1455,4478,179
61059,466,1182,244,1371,429,996,2800,151
61060,935,2212,485,2800,888,1896,5785,283
61061,274,677,139,770,234,530,1569,57
61062,788,2780,547,3821,1604,2567,7750,221
